MouseEvent,385,178,1493333728499,mousemove
MouseEvent,385,179,1493333728515,mousemove
MouseEvent,384,181,1493333728515,mousemove
MouseEvent,383,183,1493333728530,mousemove
MouseEvent,382,185,1493333728530,mousemove
MouseEvent,381,187,1493333728546,mousemove
MouseEvent,381,188,1493333728546,mousemove
MouseEvent,381,189,1493333728561,mousemove
MouseEvent,381,191,1493333728561,mousemove
MouseEvent,381,194,1493333728577,mousemove
MouseEvent,381,197,1493333728577,mousemove
MouseEvent,381,200,1493333728593,mousemove
MouseEvent,381,202,1493333728593,mousemove
MouseEvent,382,204,1493333728608,mousemove
MouseEvent,383,206,1493333728608,mousemove
MouseEvent,383,207,1493333728624,mousemove
MouseEvent,385,209,1493333728639,mousemove
MouseEvent,386,210,1493333728639,mousemove
MouseEvent,388,212,1493333728655,mousemove
MouseEvent,389,214,1493333728655,mousemove
MouseEvent,391,216,1493333728671,mousemove
MouseEvent,392,219,1493333728671,mousemove
MouseEvent,394,223,1493333728686,mousemove
MouseEvent,397,225,1493333728686,mousemove
MouseEvent,398,227,1493333728702,mousemove
MouseEvent,399,228,1493333728702,mousemove
MouseEvent,400,228,1493333728905,mousemove
MouseEvent,401,228,1493333728920,mousemove
MouseEvent,401,228,1493333728920,mousemove
MouseEvent,402,228,1493333728936,mousemove
MouseEvent,402,227,1493333728951,mousemove
MouseEvent,402,227,1493333728983,mousemove
MouseEvent,400,226,1493333728983,mousemove
MouseEvent,400,225,1493333728998,mousemove
MouseEvent,399,225,1493333728998,mousemove
MouseEvent,397,225,1493333729014,mousemove
MouseEvent,395,225,1493333729014,mousemove
MouseEvent,394,226,1493333729029,mousemove
MouseEvent,393,227,1493333729029,mousemove
MouseEvent,391,229,1493333729045,mousemove
MouseEvent,389,231,1493333729045,mousemove
MouseEvent,387,233,1493333729061,mousemove
MouseEvent,386,236,1493333729061,mousemove
MouseEvent,385,238,1493333729076,mousemove
MouseEvent,384,240,1493333729076,mousemove
MouseEvent,384,242,1493333729092,mousemove
MouseEvent,384,243,1493333729092,mousemove
MouseEvent,384,244,1493333729107,mousemove
MouseEvent,384,246,1493333729107,mousemove
MouseEvent,386,247,1493333729123,mousemove
MouseEvent,390,250,1493333729123,mousemove
MouseEvent,396,252,1493333729139,mousemove
MouseEvent,404,255,1493333729139,mousemove
MouseEvent,415,257,1493333729154,mousemove
MouseEvent,433,260,1493333729154,mousemove
MouseEvent,451,262,1493333729170,mousemove
MouseEvent,469,263,1493333729170,mousemove
